'Weeks'	35	36	37	38	39
'Region 10'	2745	2834	3022	3123	3302
'Nation'	40490	41556	46329	47918	50768
'Region 4'	6471	6682	8719	8784	9257
'Region 5'	8482	8632	8903	9165	9442
'Region 6'	3930	4048	4595	4748	4861
'Region 7'	1203	1270	1448	1588	2006
'Region 1'	2943	2934	3041	3064	3134
'Region 2'	1836	1813	1829	1831	1834
'Region 3'	4450	4585	4846	5121	5685
'Region 8'	1603	1760	1989	2335	2651
'Region 9'	6827	6998	7937	8159	8596
